ID,Station,Network,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years
81,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-19_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.60784,22.87937,112.3,0.5-0.5,0.5,2015,2018,NA,0,4
82,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-21_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.61864,22.87695,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
83,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-22_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.61882,22.87945,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
84,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-23_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.61899,22.88195,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
85,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-24_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.62012,22.87665,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
86,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-25_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6203,22.87915,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
87,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-26_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.62048,22.88165,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
88,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-27_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6216,22.87634,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
89,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-28_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.62178,22.87884,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
90,BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-29_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.62196,22.88135,112.3,0.05-0.05,0.05,2015,2015,NA,0,1
91,CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.671,16.409,714,0.3-0.3,0.3,2001,2012,2007,8.333333333,11
92,CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.671,16.409,714,0.6-0.6,0.6,2001,2012,2007,8.333333333,11
93,CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,38.671,16.409,714,0.9-0.9,0.9,2001,2012,2007,8.333333333,11
94,CALABRIA_CALABRIA_Fitterizzi_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.52,16.141,184,0.3-0.3,0.3,2001,2012,NA,0,12
95,CALABRIA_CALABRIA_Fitterizzi_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.52,16.141,184,0.6-0.6,0.6,2001,2012,NA,0,12
96,CALABRIA_CALABRIA_Fitterizzi_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm,CALABRIA,39.52,16.141,184,0.9-0.9,0.9,2001,2008,NA,0,8
